date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:23	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-4af4%22	https://technext.github.io/jony/js/popper.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/popper.min.js	(from https://technext.github.io/jony/index.html)
15:55:23	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-bf30%22	https://technext.github.io/jony/js/bootstrap.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/bootstrap.min.js	(from https://technext.github.io/jony/index.html)
15:55:23	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-a70e%22	https://technext.github.io/jony/js/owl.carousel.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/owl.carousel.min.js	(from https://technext.github.io/jony/index.html)
15:55:24	35503/35503	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-8aaf%22	https://technext.github.io/jony/js/isotope.pkgd.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/isotope.pkgd.min.js	(from https://technext.github.io/jony/index.html)
15:55:24	1202/1202	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-4b2%22	https://technext.github.io/jony/js/ajax-form.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/ajax-form.js	(from https://technext.github.io/jony/index.html)
15:55:24	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-1f6c%22	https://technext.github.io/jony/js/waypoints.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/waypoints.min.js	(from https://technext.github.io/jony/index.html)
15:55:24	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-42b%22	https://technext.github.io/jony/js/jquery.counterup.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.counterup.min.js	(from https://technext.github.io/jony/index.html)
15:55:25	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-15da%22	https://technext.github.io/jony/js/imagesloaded.pkgd.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/imagesloaded.pkgd.min.js	(from https://technext.github.io/jony/index.html)
15:55:25	3697/3697	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-e71%22	https://technext.github.io/jony/js/scrollIt.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/scrollIt.js	(from https://technext.github.io/jony/index.html)
15:55:25	2035/2035	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-7f3%22	https://technext.github.io/jony/js/jquery.scrollUp.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.scrollUp.min.js	(from https://technext.github.io/jony/index.html)
15:55:25	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-20df%22	https://technext.github.io/jony/js/wow.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/wow.min.js	(from https://technext.github.io/jony/index.html)
15:55:25	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-b7e%22	https://technext.github.io/jony/js/nice-select.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/nice-select.min.js	(from https://technext.github.io/jony/index.html)
15:55:26	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-20df%22	https://technext.github.io/jony/js/jquery.slicknav.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.slicknav.min.js	(from https://technext.github.io/jony/index.html)
15:55:26	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-4ef8%22	https://technext.github.io/jony/js/jquery.magnific-popup.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.magnific-popup.min.js	(from https://technext.github.io/jony/index.html)
15:55:26	760/760	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-2f8%22	https://technext.github.io/jony/js/plugins.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/plugins.js	(from https://technext.github.io/jony/index.html)
15:55:26	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-a76f%22	https://technext.github.io/jony/js/slick.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/slick.min.js	(from https://technext.github.io/jony/index.html)
15:55:27	3024/3024	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-bd0%22	https://technext.github.io/jony/js/contact.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/contact.js	(from https://technext.github.io/jony/index.html)
15:55:27	4820/4820	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-12d4%22	https://technext.github.io/jony/js/jquery.ajaxchimp.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.ajaxchimp.min.js	(from https://technext.github.io/jony/index.html)
15:55:27	41095/41095	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-a087%22	https://technext.github.io/jony/js/jquery.form.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.form.js	(from https://technext.github.io/jony/index.html)
15:55:27	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-524c%22	https://technext.github.io/jony/js/jquery.validate.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/jquery.validate.min.js	(from https://technext.github.io/jony/index.html)
15:55:27	1230/1230	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-4ce%22	https://technext.github.io/jony/js/mail-script.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/mail-script.js	(from https://technext.github.io/jony/index.html)
15:55:28	8438/8438	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-20f6%22	https://technext.github.io/jony/js/main.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/main.js	(from https://technext.github.io/jony/index.html)
15:55:28	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a1ac-247b%22	https://technext.github.io/jony/css/owl.video.play.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/owl.video.play.png	(from https://technext.github.io/jony/css/owl.carousel.min.css)
15:55:29	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-2876e%22	https://technext.github.io/jony/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfont3e6e.eot	(from https://technext.github.io/jony/css/font-awesome.min.css)
15:55:29	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-2876e%22	https://technext.github.io/jony/fonts/fontawesome-webfont.eot?	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfontd41d.eot	(from https://technext.github.io/jony/css/font-awesome.min.css)
15:55:29	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225df9b4b3-12d68%22	https://technext.github.io/jony/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfont3e6e.woff2	(from https://technext.github.io/jony/css/font-awesome.min.css)
15:55:29	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225df9b4b3-17ee8%22	https://technext.github.io/jony/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfont3e6e.woff	(from https://technext.github.io/jony/css/font-awesome.min.css)
